OBJECTID,Shape_Leng,Shape_Area,TAZ_O
58,6247.02918317,1806503.62418,58
59,4522.85322816,1108717.56635,59
60,5650.69354053,1766953.76042,60
61,5388.08192245,1426869.96218,61
62,5888.86307899,1417531.53158,62
63,4929.22790091,1127528.86921,63
64,7076.950914,2505855.14092,64
65,6175.02235633,1310895.16732,65
66,7823.24705921,1295865.12673,66
67,8436.98305475,1998333.03455,67
68,9290.09579403,2882705.39012,68
69,7516.59895617,2221427.24633,69
70,7706.04589777,2054614.08814,70
71,5951.11903858,1187791.01277,71
72,7457.1652149,2856009.1673,72
73,7898.18858797,1551832.86375,73
74,6423.08221541,1522711.18501,74
75,7552.38953111,2791233.46001,75
76,6034.57295319,1620531.09929,76
77,6043.63820385,2001757.92374,77
78,4420.39583449,1211304.24991,78
79,6772.86333658,2557618.98792,79
80,5889.26082759,2096492.16271,80
81,5313.32598262,1408917.77802,81
82,4820.15062328,1272982.88624,82
83,4929.02966145,1409855.81558,83
84,4620.26203034,1116460.81485,84
85,3920.20784689,876052.30452,85
86,4025.58827674,1010308.06554,86
87,6300.17841048,2202009.71847,87
88,6253.16407662,1268277.3998,88
89,7510.07571137,1945057.06534,89
90,6543.53587794,1872896.26585,90
91,5239.26539002,1146905.56409,91
92,4595.92152333,928756.678897,92
93,4825.25975341,1093046.43458,93
94,7243.06472769,2650879.73606,94
95,8644.23749074,3275626.82116,95
96,5784.76950159,1786167.63095,96
97,5692.50260397,1359858.51458,97
98,10052.829891,3177960.31231,98
99,6780.059067,1287437.54582,99
100,4985.48886972,1302957.61245,100
101,5651.46081304,1953707.12636,101
102,3334.39962738,701795.293138,102
103,5021.94012017,1575647.49755,103
104,4697.66596328,1392427.45705,104
105,4288.04628363,1108946.64539,105
106,6050.68225722,1855602.99482,106
107,8501.85890767,2645289.56885,107
108,6039.73584207,1803668.18484,108
109,6481.63231763,2333333.87996,109
110,12725.7513569,3623033.24592,110
111,9094.42157805,2924998.29956,111
112,4895.30303311,753701.280407,112
113,4168.8644841,1012814.5349,113
114,3669.82752999,732123.509437,114
115,3819.69875534,812388.291672,115
116,2858.12366357,452019.251867,116
117,3267.88218637,575483.692716,117
118,3764.07534522,565347.002954,118
119,3784.46191545,817479.491444,119
120,3708.33901424,626633.157245,120
121,6865.93403048,1236983.16702,121
122,3851.00804019,776925.038279,122
123,5047.34653491,732573.119549,123
124,4723.72112498,1024473.26379,124
125,5510.02748269,757851.982603,125
126,4433.53249832,1063408.62887,126
127,7260.47667972,2105749.0684,127
128,5946.26197007,1017657.88478,128
129,3972.52582398,650760.365387,129
130,4893.29649507,1148341.89121,130
131,4546.2952582,915294.468701,131
132,4405.95629978,761670.494736,132
133,4959.19583937,1186463.84662,133
134,3125.28181074,481904.040478,134
135,3714.5103178,584264.834213,135
136,4879.52424804,1229415.62463,136
137,3965.75651942,678365.327439,137
138,3171.19886283,604323.185105,138
139,4237.35821076,1072442.68019,139
140,2926.6685767,525647.22151,140
141,2649.51070404,429058.577499,141
142,2744.88760253,466516.380897,142
143,3743.60779023,837598.829177,143
144,3569.78313978,710425.467104,144
145,6331.90493371,1494486.03317,145
146,6761.24425821,2754423.23356,146
147,4113.36812175,357969.531243,147
148,3756.34320525,816389.048272,148
149,3517.9704601,690663.652177,149
150,3362.2880388,498039.705664,150
151,4102.80300889,671672.61363,151
152,5490.07910165,1487806.12309,152
153,13482.1824285,2169579.97966,153
154,4291.27071081,901404.727791,154
155,3020.67966471,495374.932975,155
156,3417.49273116,426452.354425,156
