TAZ_O,year,Avg_own_payt,Avg_own_paytinf,Avg_val_dwel,Avg_val_dwelinf,Avg_rent,Avg_rentinf,Avg_HHinc,Avg_HHincinf,Med_HHincinf,Dwel,Sgl_det,Apt_5plus,Sgl_att,Owned,Rented
2078,2001,885.8571428571429,1157.1951857142858,253183.42857142858,330733.51274285716,281.7142857142857,368.0033714285714,66089.57142857143,86332.80715714287,76690.82024285714,795.0,243.0,0.0,550.0,767.0,26.0
2078,2006,1215.3636363636363,1433.521409090909,233568.27272727274,275493.7776818182,648.3636363636364,764.7449090909091,71519.45454545454,84357.19663636363,78777.6255,783.0,9.0,55.0,734.0,719.0,68.0
2078,2011,1614.0,1723.7520000000002,373338.8888888889,398725.93333333335,652.1111111111111,696.4546666666666,105994.77777777778,113202.42266666668,104236.8,962.0,0.0,224.0,738.0,900.0,48.0
2078,2016,1764.5555555555557,1764.5555555555557,533319.6666666666,533319.6666666666,1351.3333333333333,1351.3333333333333,121467.44444444444,121467.44444444444,109074.0,1259.0,0.0,506.0,757.0,963.0,268.0
2078,2086,979.0,1910.5185,125695.16666666667,245294.11775,606.0,1182.609,53397.5,104205.22125,108552.1875,218.0,200.0,0.0,18.0,204.0,15.0
2078,2091,479.25,742.789575,149608.25,231877.82667500002,313.75,486.28112500000003,17573.0,27236.3927,53668.3873,25.0,25.0,2.0,0.0,22.0,5.0
2078,2096,356.0,514.6336,61251.333333333336,88544.92746666668,0.0,0.0,27905.333333333332,40339.94986666666,76165.7728,2.0,2.0,0.0,0.0,2.0,0.0
2079,2001,1159.0,1514.0017,273333.0,357054.8979,534.4,698.08672,79937.4,104422.22562,92364.5541,1162.0,634.0,0.0,527.0,1140.0,18.0
2079,2006,1625.421052631579,1917.1841315789475,349743.63157894736,412522.61344736844,194.94736842105263,229.94042105263156,101066.21052631579,119207.59531578947,109767.8085,3793.0,2693.0,0.0,1096.0,3676.0,132.0
2079,2011,1760.1666666666667,1879.8580000000002,454491.6666666667,485397.10000000003,645.1666666666666,689.038,118583.38888888889,126647.05933333334,119195.20800000001,4097.0,2808.0,71.0,1222.0,3907.0,139.0
2079,2016,1940.4444444444443,1940.4444444444443,653158.6666666666,653158.6666666666,485.8888888888889,485.8888888888889,143260.94444444444,143260.94444444444,129119.0,4264.0,2803.0,92.0,1347.0,3894.0,349.0
2079,2086,874.0,1705.611,158824.0,309945.036,506.0,987.4590000000001,43676.0,85233.714,96704.631,37.0,33.0,0.0,4.0,24.0,12.0
2079,2091,578.5,896.61715,283816.0,439886.4184,363.0,562.6137,29589.5,45860.76605,41470.6743,23.0,23.0,2.0,0.0,19.0,5.0
2079,2096,790.4,1142.60224,227676.2,329128.71472,320.6,463.45936,52247.4,75528.84144,80327.6552,217.0,143.0,0.0,78.0,214.0,7.0
2080,2001,1367.7777777777778,1786.7281111111113,265002.8888888889,346173.27375555557,423.8888888888889,553.7260555555556,106663.55555555556,139334.60262222224,118626.4093,2609.0,1633.0,0.0,967.0,2462.0,144.0
2080,2006,1544.5238095238096,1821.7658333333334,416604.0,491384.418,185.76190476190476,219.10616666666667,135816.7142857143,160195.8145,127308.153,3525.0,1986.0,5.0,1532.0,3335.0,190.0
2080,2011,1637.909090909091,1749.2869090909094,503914.13636363635,538180.2976363637,606.1818181818181,647.4021818181818,138528.5,147948.438,119912.90400000001,3895.0,2142.0,5.0,1763.0,3644.0,227.0
2080,2016,1774.5652173913043,1774.5652173913043,720433.0434782609,720433.0434782609,473.5652173913044,473.5652173913044,159513.95652173914,159513.95652173914,131873.0,3921.0,2107.0,0.0,1833.0,3667.0,257.0
2080,2086,805.0,1570.9575,143574.66666666666,280185.962,372.0,725.958,52434.0,102324.951,98172.159,159.0,156.0,0.0,4.0,152.0,9.0
2080,2091,1466.6,2273.08334,332282.8,515005.11172,1194.0,1850.5806,78360.0,121450.164,115831.7765,652.0,487.0,0.0,174.0,586.0,70.0
2080,2096,1395.6666666666667,2017.5757333333333,284100.0,410694.96,280.8333333333333,405.9726666666666,90644.66666666667,131035.93013333334,114248.6592,947.0,579.0,0.0,374.0,790.0,159.0
2081,2001,1258.3333333333333,1643.7608333333333,231101.0,301887.2363,328.6666666666667,429.3372666666667,96741.66666666667,126373.63916666668,107145.3386,523.0,160.0,0.0,363.0,504.0,17.0
2081,2006,1427.5714285714287,1683.8205,288107.28571428574,339822.5435,727.0,857.4965,98889.0,116639.5755,97715.6775,499.0,21.0,0.0,480.0,457.0,39.0
2081,2011,1372.857142857143,1466.2114285714288,324577.85714285716,346649.1514285715,931.0,994.3080000000001,96116.14285714286,102652.04057142857,91261.668,600.0,24.0,0.0,575.0,539.0,59.0
