TAZ_O,year,Pop,FT_wrk,Stu,HH,Jobs,Cars
22,2006,5221,2157,929,2234.0,9441.0,3062
22,2011,5986,2836,1799,2713.0,9409.0,3232
22,2016,5527,3004,1204,2549.0,8447.0,3201
23,1986,4811,2505,769,1867.0,,3033
23,1991,7208,2403,5206,2203.0,3320.0,4405
23,1996,4547,1575,1619,1730.0,1019.0,2438
23,2001,4163,1601,1385,1709.0,1364.0,2385
23,2006,3808,1382,768,1635.0,801.0,2095
23,2011,4811,1907,3019,1588.0,1048.0,2465
23,2016,3798,1656,1233,1424.0,748.0,2177
24,1986,9777,4856,2791,3999.0,,5889
24,1991,11613,4605,0,5206.0,5577.0,6608
24,1996,10585,3665,2918,4398.0,3391.0,6139
24,2001,9081,3238,2400,3866.0,2402.0,5088
24,2006,9293,2870,2293,4098.0,2967.0,5300
24,2011,11789,3988,4540,4604.0,3981.0,6346
24,2016,12260,4584,6385,5022.0,2813.0,7006
25,1986,5536,2571,1339,1845.0,,2879
25,1991,2803,1000,2402,1001.0,3043.0,1802
25,1996,6037,2124,2364,1946.0,3655.0,3117
25,2001,7066,2635,1533,2633.0,4168.0,3746
25,2006,5293,2049,1898,2182.0,2944.0,2770
25,2011,6945,2559,2892,2290.0,2253.0,3242
25,2016,5974,2600,2320,2329.0,2339.0,3623
26,1986,8305,4242,2483,2966.0,,4833
26,1991,8410,3404,2402,2803.0,1481.0,4406
26,1996,8479,3100,2719,2986.0,1072.0,4419
26,2001,7392,3064,2241,2734.0,1353.0,4089
26,2006,8396,3127,1740,3088.0,1351.0,4519
26,2011,8726,3195,4068,3212.0,996.0,4356
26,2016,7910,3697,2630,3065.0,997.0,4964
27,1986,6261,3363,1383,2592.0,,3494
27,1991,4405,2403,0,2002.0,895.0,2802
27,1996,6874,2521,2773,2541.0,1580.0,3311
27,2001,6080,2256,2433,2459.0,1555.0,3099
27,2006,6027,2465,2865,2260.0,1621.0,2792
27,2011,5102,2374,1856,2031.0,1347.0,2743
27,2016,5826,2604,1110,2446.0,2134.0,3015
28,1986,9940,4497,2439,3705.0,,5174
28,1991,9940,3509,5457,3703.0,4640.0,4484
28,1996,9426,3628,3530,3698.0,2949.0,4881
28,2001,10774,4296,3419,3881.0,3658.0,5492
28,2006,9722,3390,5912,3669.0,3420.0,5005
28,2011,9752,3423,4711,3487.0,3782.0,4789
28,2016,11441,5036,5427,4413.0,3066.0,6176
29,1986,6218,3021,2486,2058.0,,3597
29,1991,5596,2775,504,2104.0,276.0,3742
29,1996,4421,1724,1839,1493.0,1208.0,2449
29,2001,4393,1749,500,1514.0,989.0,2644
29,2006,3915,1520,1096,1566.0,717.0,2505
29,2011,3429,1382,950,1321.0,857.0,2156
29,2016,4554,2000,1983,1469.0,734.0,2722
30,1986,6177,3202,2996,2051.0,,3042
30,1991,3381,1902,0,1479.0,768.0,2324
30,1996,5490,1729,4124,1750.0,623.0,2148
30,2001,6373,2481,2925,2194.0,600.0,2804
30,2006,5884,2000,1921,1941.0,467.0,2797
30,2011,5530,2045,1711,1872.0,139.0,2551
30,2016,7657,2699,5203,2675.0,458.0,2955
31,1986,5255,2304,1291,2259.0,,3180
31,1991,3170,1479,0,1268.0,172.0,2534
31,1996,5410,1788,1208,2313.0,661.0,2593
31,2001,6713,2543,1540,2767.0,617.0,3208
31,2006,4752,1468,1700,2176.0,656.0,2061
31,2011,5435,1583,2063,2730.0,819.0,2608
31,2016,6054,2342,902,2683.0,993.0,3171
32,1986,5381,2636,644,1972.0,,3494
32,1991,4371,1513,0,1513.0,1214.0,2857
32,1996,4785,1952,1935,1837.0,872.0,3004
32,2001,4948,1468,1742,1998.0,787.0,2813
32,2006,5285,1918,1278,2003.0,911.0,3149
32,2011,6747,2866,2562,2444.0,1055.0,4234
32,2016,5727,2553,3161,2076.0,1051.0,3637
33,1986,4066,1693,2148,1423.0,,2328
33,1991,3508,1560,0,1364.0,1062.0,1950
33,1996,4000,1340,1742,1416.0,746.0,2315
33,2001,2822,938,696,1087.0,825.0,1667
33,2006,3296,1290,1195,1241.0,490.0,2044
33,2011,4104,1523,938,1414.0,756.0,2319
33,2016,4250,1760,2104,1419.0,692.0,2813
34,1986,8358,4384,1579,4270.0,,3930
34,1991,8576,2924,0,4288.0,3013.0,4482
34,1996,10896,3500,4837,4726.0,4462.0,4115
34,2001,11657,4376,5823,5466.0,4286.0,4738
34,2006,9696,3600,4118,4401.0,5235.0,3734
34,2011,12986,4861,4298,6509.0,5508.0,5963
34,2016,14303,7196,10279,7233.0,7640.0,6397
35,1986,1308,493,623,493.0,,855
35,1991,1513,840,0,673.0,0.0,840
35,1996,1601,534,598,576.0,161.0,982
35,2001,1366,552,460,465.0,538.0,842
35,2006,1879,696,834,600.0,303.0,1065
35,2011,1429,496,392,550.0,416.0,854
35,2016,1597,506,721,498.0,376.0,992
36,1986,4674,2034,964,1672.0,,3365
36,1991,3531,1681,0,1345.0,298.0,2690
36,1996,3437,1066,363,1345.0,649.0,2367
36,2001,3281,1220,916,1102.0,794.0,1971
36,2006,3753,1548,605,1245.0,729.0,2423
36,2011,5144,2153,1562,1835.0,919.0,3892
36,2016,3836,1562,1023,1287.0,589.0,2875
37,1986,9704,4796,3457,3481.0,,6272
37,1991,11833,4648,1268,3592.0,482.0,5917
37,1996,8004,3584,1508,3229.0,1108.0,4499
37,2001,11286,4064,4772,4065.0,1542.0,5284
37,2006,7742,2469,2524,3142.0,1043.0,4317
37,2011,9745,3481,4986,3461.0,1339.0,5099
37,2016,7253,2928,2089,2791.0,1202.0,4337
38,1986,3965,2303,1314,1268.0,,2766
38,1991,7818,3169,2114,2324.0,233.0,3593
38,1996,3157,1146,1047,1126.0,472.0,1607
38,2001,2156,813,483,810.0,570.0,1201
38,2006,3511,1030,1431,1240.0,283.0,1944
38,2011,1925,725,531,824.0,327.0,1172
38,2016,1799,808,541,657.0,214.0,1088
39,1986,10050,4517,6292,3642.0,,4723
39,1991,5071,2748,5706,2747.0,3682.0,2114
39,1996,10127,3130,9158,3467.0,2350.0,4264
39,2001,5869,2321,1859,2260.0,2282.0,3189
39,2006,9507,2823,4263,3374.0,1385.0,3945
39,2011,9034,2595,5728,3135.0,1877.0,3289
39,2016,11167,3587,11965,3693.0,1022.0,4737
40,1986,5693,3068,1868,2213.0,,3344
40,1991,5916,3171,634,2324.0,1309.0,4225
40,1996,6428,2169,5225,2265.0,2578.0,2673
40,2001,7165,3234,4354,2604.0,1952.0,3194
40,2006,5219,1915,1703,2024.0,1859.0,2557
40,2011,6204,2169,4695,2173.0,1842.0,2676
40,2016,7056,2724,2035,2569.0,1078.0,3852
41,1986,4610,1797,1938,1360.0,,2671
41,1991,4226,1902,423,1479.0,706.0,2535
41,1996,3601,1336,1721,1297.0,540.0,1972
41,2001,3730,1386,1357,1398.0,669.0,2335
41,2006,3728,1448,1213,1555.0,932.0,2322
41,2011,3952,1427,1549,1412.0,845.0,2253
41,2016,3235,1302,901,1070.0,593.0,1837
42,1986,3280,1522,1268,1222.0,,2057
42,1991,2354,1177,0,1513.0,336.0,2017
42,1996,3395,1517,469,1260.0,325.0,2091
42,2001,3285,1451,640,1246.0,395.0,2160
42,2006,3099,1220,640,1298.0,436.0,2127
42,2011,1733,676,192,812.0,231.0,1214
42,2016,2523,1168,638,1004.0,318.0,1784
43,1986,2230,1158,1243,772.0,,1202
43,1991,2018,1008,0,841.0,736.0,1344
43,1996,2565,1083,800,982.0,1336.0,1383
43,2001,2927,1222,823,1116.0,1101.0,1715
43,2006,2439,1028,251,979.0,831.0,1379
43,2011,2772,1309,928,1092.0,1006.0,1806
43,2016,3858,1628,1565,1289.0,996.0,2134
44,1986,2380,964,1546,879.0,,1476
44,1991,2186,504,1008,841.0,1123.0,841
44,1996,3186,1303,1062,1122.0,1189.0,1683
44,2001,2398,927,524,946.0,1026.0,1392
44,2006,3067,1211,531,1177.0,1250.0,1723
44,2011,3146,1156,1428,1175.0,941.0,2023
44,2016,2058,453,136,736.0,926.0,1327
45,1986,1286,555,429,515.0,,770
45,1991,1009,504,0,336.0,793.0,504
45,1996,1683,702,940,762.0,350.0,961
45,2001,2198,908,824,921.0,383.0,1247
45,2006,2555,1047,283,1178.0,403.0,1526
45,2011,2745,972,542,1155.0,697.0,1671
45,2016,3085,1308,1172,1519.0,399.0,1895
46,1986,6325,2532,3344,2337.0,,3703
46,1991,8575,3699,3698,3531.0,1026.0,4707
46,1996,7054,2614,3667,3081.0,1363.0,3973
46,2001,5784,2332,792,2473.0,1215.0,3661
46,2006,7507,2492,3770,3173.0,1255.0,4093
46,2011,6623,2532,2937,2661.0,1231.0,3600
46,2016,8268,3602,4500,3740.0,811.0,4676
47,1986,9769,4081,3052,3996.0,,5396
47,1991,5916,2959,423,3803.0,209.0,3804
47,1996,9683,3430,2246,4135.0,1267.0,5300
47,2001,10939,4003,5605,4685.0,1148.0,5654
47,2006,9680,3283,3587,4133.0,1472.0,4928
47,2011,11168,4167,4903,4375.0,1663.0,5724
47,2016,10023,3828,2563,4289.0,1246.0,5581
48,1986,0,0,0,,,0
48,1991,0,0,0,,7626.0,0
48,1996,0,0,0,,7757.0,0
48,2001,0,0,0,,8962.0,0
48,2006,0,0,0,,7922.0,0
48,2011,0,0,0,,6611.0,0
48,2016,0,0,0,,8021.0,0
49,1986,100,50,50,25.0,,25
49,1991,0,0,0,,4918.0,0
49,1996,0,0,0,,6436.0,0
49,2001,0,0,0,,5380.0,0
49,2006,0,0,0,,6012.0,0
49,2011,0,0,0,,6824.0,0
49,2016,0,0,0,,7025.0,0
50,1986,75,50,0,25.0,,75
50,1991,0,0,0,,2353.0,0
50,1996,0,0,0,,2178.0,0
50,2001,23,23,0,23.0,3299.0,23
50,2006,0,0,0,,3036.0,0
50,2011,0,0,0,,3604.0,0
50,2016,0,0,0,,2340.0,0
51,1986,0,0,0,,,0
51,1991,0,0,0,,2259.0,0
51,1996,0,0,0,,1717.0,0
51,2001,185,92,0,116.0,2526.0,161
51,2006,88,18,0,53.0,2742.0,35
51,2011,94,48,0,24.0,2585.0,24
51,2016,0,0,0,,1991.0,0
52,1986,0,0,0,,,0
52,1991,949,570,0,380.0,258.0,950
52,1996,3249,1338,2636,945.0,2976.0,1673
52,2001,6181,2535,2364,1602.0,3066.0,2450
52,2006,6125,2775,3147,1685.0,2554.0,2895
52,2011,12362,4716,5658,3627.0,2633.0,5608
52,2016,7875,3960,3173,2553.0,1711.0,3601
53,1986,3574,2000,725,1075.0,,1925
53,1991,12706,4815,3118,3217.0,4010.0,4639
53,1996,9377,3936,5086,2700.0,3446.0,3726
53,2001,9832,4366,4032,2889.0,4297.0,4201
53,2006,8992,3428,4015,3015.0,3881.0,3595
53,2011,10566,3437,4805,3453.0,4999.0,4206
53,2016,8720,3164,4108,2648.0,5895.0,3578
54,1986,2824,1550,1075,725.0,,1550
54,1991,1395,413,1518,413.0,6309.0,603
54,1996,1884,713,1278,544.0,5910.0,690
54,2001,1949,889,901,645.0,5595.0,845
54,2006,2592,1159,817,738.0,7246.0,1137
54,2011,2207,755,579,694.0,6732.0,906
54,2016,1818,748,461,553.0,6696.0,1035
55,1986,7072,3200,1500,1999.0,,3550
55,1991,4365,1518,0,1328.0,2905.0,2848
55,1996,4771,2027,1333,1332.0,2788.0,2010
55,2001,5170,2454,1063,1519.0,4773.0,2408
55,2006,4824,2073,1720,1479.0,4057.0,2185
55,2011,5512,1800,3016,1614.0,4721.0,2173
55,2016,3999,1325,2035,1197.0,4645.0,1889
56,1986,12595,5772,4423,3649.0,,5597
56,1991,12904,5502,1898,3795.0,1996.0,6073
56,1996,12842,4612,4671,3698.0,2181.0,5129
56,2001,14355,5897,3702,3858.0,1702.0,5740
56,2006,12669,4601,3928,3751.0,1844.0,4689
56,2011,14676,4965,4843,4238.0,2390.0,5512
56,2016,12725,5282,4456,3523.0,2058.0,4336
57,1986,4773,1475,4800,1474.0,,1475
57,1991,7211,2468,1139,2277.0,923.0,2847
57,1996,5798,1466,1760,1842.0,1117.0,1969
57,2001,4917,1406,2621,1429.0,1234.0,1678
57,2006,4953,1432,1753,1538.0,1002.0,1522
57,2011,4653,1120,3344,1355.0,771.0,1342
57,2016,6341,1322,3262,2143.0,594.0,1714
58,1986,7576,3863,2742,2342.0,,4287
58,1991,5503,2847,1518,2087.0,233.0,3986
58,1996,5848,2306,1537,2107.0,180.0,3462
58,2001,6040,2314,1168,2214.0,362.0,3448
58,2006,6245,2153,2966,2151.0,360.0,3186
58,2011,6414,2275,3642,2162.0,435.0,2913
58,2016,6791,2865,1699,2317.0,391.0,3270
59,1986,0,0,0,,,0
59,1991,759,190,0,190.0,2450.0,380
59,1996,0,0,0,,1078.0,0
59,2001,0,0,0,,1776.0,0
59,2006,0,0,0,,1468.0,0
59,2011,0,0,0,,1445.0,0
59,2016,0,0,0,,2465.0,0
60,1986,0,0,0,,,0
60,1991,0,0,0,,4115.0,0
60,1996,0,0,0,,4048.0,0
60,2001,0,0,0,,4173.0,0
60,2006,0,0,0,,3814.0,0
60,2011,0,0,0,,2964.0,0
60,2016,0,0,0,,3002.0,0
61,1986,0,0,0,,,0
61,1991,0,0,0,,2924.0,0
61,1996,20,20,0,20.0,3913.0,40
61,2001,0,0,0,,4009.0,0
61,2006,0,0,0,,3646.0,0
61,2011,0,0,0,,4061.0,0
61,2016,0,0,0,,2840.0,0
62,1986,0,0,0,,,0
62,1991,0,0,0,,2506.0,0
62,1996,0,0,0,,4145.0,0
62,2001,486,161,139,116.0,3835.0,161
62,2006,88,18,0,18.0,4322.0,0
62,2011,206,24,96,65.0,3204.0,24
62,2016,146,39,0,39.0,2787.0,39
63,1986,0,0,0,,,0
63,1991,0,0,0,,4658.0,0
63,1996,0,0,0,,4252.0,0
63,2001,0,0,0,,2932.0,0
63,2006,14,14,0,14.0,3261.0,14
63,2011,119,44,144,37.0,3083.0,52
63,2016,20,10,0,10.0,3257.0,20
64,1986,8872,3936,1821,3240.0,,4934
64,1991,8350,2847,760,3226.0,3155.0,4366
64,1996,9807,3925,3050,3883.0,1284.0,4938
64,2001,9447,3693,2174,3805.0,2015.0,5121
64,2006,9627,3816,3923,3859.0,1286.0,4691
64,2011,9051,3556,2176,3261.0,1718.0,4719
64,2016,10758,3874,3817,4042.0,985.0,5142
65,1986,5948,2550,3200,1774.0,,3100
65,1991,4275,1743,0,1551.0,653.0,2378
65,1996,4147,1691,1386,1448.0,1239.0,2108
65,2001,5495,1899,2001,1652.0,1157.0,2410
65,2006,4518,1683,1513,1461.0,976.0,1996
65,2011,5856,2098,3242,1653.0,629.0,2370
65,2016,4740,1754,2315,1377.0,389.0,1880
66,1986,5773,3575,2700,2149.0,,2850
66,1991,9430,3662,4431,3299.0,224.0,3298
66,1996,12683,4982,7929,4048.0,682.0,4001
66,2001,13968,4855,6466,4116.0,458.0,4053
66,2006,13085,4212,6781,3795.0,1207.0,3951
66,2011,11464,3429,7959,3516.0,701.0,3600
66,2016,15525,5139,4780,4964.0,601.0,5212
67,1986,4873,2425,1850,1549.0,,3025
67,1991,2657,760,0,759.0,1094.0,1140
67,1996,4957,1693,1165,1734.0,389.0,2388
67,2001,4488,1783,1076,1642.0,1003.0,2306
67,2006,4621,1483,1601,1688.0,919.0,2267
67,2011,6542,2477,3623,2240.0,1140.0,3370
67,2016,4275,1686,777,1471.0,798.0,2192
68,1986,10616,5207,5807,3190.0,,4838
68,1991,8540,3037,0,2847.0,1050.0,4365
68,1996,9343,3387,3957,3162.0,1169.0,4181
68,2001,8711,3227,3913,3075.0,968.0,3614
68,2006,9221,3344,4811,3375.0,840.0,3960
68,2011,7533,2247,4448,2500.0,1186.0,3087
68,2016,10497,3156,4074,3669.0,728.0,4143
69,1986,3117,1574,735,1006.0,,1674
69,1991,2059,515,0,858.0,1879.0,1372
69,1996,3741,1425,988,1272.0,1957.0,2033
69,2001,4907,1909,1462,1736.0,1423.0,2596
69,2006,3822,1491,1315,1380.0,1513.0,2127
69,2011,4239,1707,933,1426.0,2387.0,2290
69,2016,2742,1223,762,961.0,1895.0,1724
70,1986,5382,2449,2115,1669.0,,3008
70,1991,2842,711,2132,888.0,1663.0,1243
70,1996,4610,1655,1366,1567.0,1985.0,2462
70,2001,4200,1775,989,1554.0,2257.0,2306
70,2006,4087,1810,1095,1454.0,877.0,2274
70,2011,6467,2617,3961,2117.0,845.0,3290
70,2016,7192,2956,5575,2406.0,803.0,3048
71,1986,0,0,0,,,0
71,1991,0,0,0,,2747.0,0
71,1996,0,0,0,,2007.0,0
71,2001,21,21,0,21.0,1426.0,0
71,2006,0,0,0,,1796.0,0
71,2011,85,21,116,21.0,2642.0,21
71,2016,0,0,0,,2402.0,0
72,1986,6345,3079,1364,2139.0,,3740
72,1991,6573,1600,6041,2132.0,5187.0,2487
72,1996,5441,1989,1942,1750.0,4016.0,2589
72,2001,4510,1588,2248,1445.0,3354.0,2113
72,2006,5175,1779,2252,1797.0,4012.0,2313
72,2011,4297,1744,1972,1576.0,4819.0,2101
72,2016,4283,1713,1581,1505.0,3715.0,2207
73,1986,7755,3624,4891,2233.0,,3107
73,1991,8527,4619,0,2665.0,688.0,4441
73,1996,9588,3285,4146,2828.0,569.0,3572
73,2001,7006,2858,2872,2071.0,2693.0,2774
73,2006,9836,3101,2529,2805.0,1580.0,3260
73,2011,10943,3408,7303,3223.0,974.0,3684
73,2016,10722,3743,7755,3690.0,1071.0,3924
74,1986,3102,1507,1763,940.0,,1931
74,1991,2842,1422,178,711.0,1227.0,1422
74,1996,3479,1317,1297,1102.0,234.0,1901
74,2001,3830,1611,1073,1261.0,498.0,2407
74,2006,2969,1240,697,1015.0,600.0,1787
74,2011,2942,862,1556,939.0,221.0,1501
74,2016,3021,1480,563,986.0,142.0,1875
75,1986,9353,4679,5758,2703.0,,4472
75,1991,10837,3910,12436,2665.0,7384.0,4797
75,1996,7131,2638,2377,2399.0,5761.0,2920
75,2001,10210,4031,4185,3269.0,4411.0,4316
75,2006,8756,2781,4379,2819.0,4850.0,3552
75,2011,8183,2426,2577,2477.0,4030.0,2959
75,2016,8315,2808,3027,2465.0,3827.0,3158
76,1986,47,48,0,24.0,,24
76,1991,0,0,0,,5601.0,0
76,1996,0,0,0,,5979.0,0
76,2001,0,0,0,,5373.0,0
76,2006,0,0,0,,5191.0,0
76,2011,0,0,0,,5524.0,0
76,2016,0,0,0,,5675.0,0
77,1986,47,24,0,24.0,,72
77,1991,0,0,0,,4754.0,0
77,1996,0,0,0,,7791.0,0
77,2001,0,0,0,,6417.0,0
77,2006,0,0,0,,7255.0,0
77,2011,0,0,0,,7190.0,0
77,2016,0,0,0,,8579.0,0
78,1986,5282,2991,2667,1761.0,,2640
78,1991,6624,2272,3786,2650.0,710.0,1892
78,1996,6339,2177,3295,2007.0,1252.0,2705
78,2001,6234,2592,2677,2140.0,1080.0,2744
78,2006,5352,1861,1897,1844.0,1286.0,2148
78,2011,7113,1678,5989,2217.0,1111.0,2438
78,2016,5228,1698,2786,1909.0,1175.0,1877
79,1986,4779,2414,2414,1710.0,,1934
79,1991,5110,1893,1892,2082.0,2857.0,2272
79,1996,5774,1968,2195,2059.0,4356.0,1858
79,2001,6819,2805,2829,2618.0,3274.0,2382
79,2006,4446,1592,2956,1744.0,2603.0,1695
79,2011,9547,3367,6610,3141.0,2646.0,3547
79,2016,6777,2984,4934,2247.0,2083.0,2499
80,1986,9006,3878,4490,2969.0,,4002
80,1991,5834,2918,1887,2574.0,332.0,2746
80,1996,9884,2856,4266,3704.0,898.0,4015
80,2001,9819,3320,5808,3556.0,1030.0,3792
80,2006,8883,2733,2811,3587.0,1090.0,3948
80,2011,9024,2576,5916,3487.0,933.0,3293
80,2016,10520,3276,6815,3947.0,1073.0,3968
81,1986,7387,3190,4487,2454.0,,2823
81,1991,11497,2576,15100,3432.0,229.0,4120
81,1996,7079,1865,6855,2419.0,813.0,2152
81,2001,7877,2886,5474,2787.0,901.0,2785
81,2006,10829,4291,7527,3484.0,869.0,4102
81,2011,10619,3568,8260,3807.0,1411.0,4224
81,2016,9961,4221,6936,3569.0,2072.0,3500
82,1986,7804,3782,3142,2969.0,,3241
82,1991,8065,3260,1201,2917.0,494.0,3260
82,1996,8099,2728,4528,2973.0,857.0,2886
82,2001,8950,3617,4045,3346.0,896.0,3285
82,2006,6749,2451,2684,2704.0,967.0,3072
82,2011,7280,2273,4290,2750.0,626.0,2606
